t;alpha;omega
42.6;0.31322;-0.000936805
42.7;0.313134;-0.000794281
42.8;0.313062;-0.000641987
42.9;0.313006;-0.000482786
43;0.312965;-0.000319582
43.1;0.312942;-0.000155268
43.2;0.312934;7.31766e-06
43.3;0.312943;0.000165444
43.4;0.312967;0.000316529
43.5;0.313006;0.000458178
43.6;0.313058;0.000588223
43.7;0.313123;0.000704753
43.8;0.313199;0.000806137
43.9;0.313284;0.000891047
44;0.313377;0.000958473
44.1;0.313475;0.00100773
44.2;0.313577;0.00103846
44.3;0.313682;0.00105063
44.4;0.313787;0.00104453
44.5;0.31389;0.00102076
44.6;0.313991;0.00098018
44.7;0.314086;0.000923945
44.8;0.314175;0.000853431
44.9;0.314256;0.000770221
45;0.314329;0.000676076
45.1;0.314391;0.000572896
45.2;0.314443;0.000462683
45.3;0.314483;0.000347507
45.4;0.314512;0.000229467
45.5;0.314529;0.000110655
45.6;0.314534;-6.8781e-06
45.7;0.314528;-0.000121161
45.8;0.31451;-0.000230328
45.9;0.314482;-0.000332652
46;0.314444;-0.000426567
46.1;0.314397;-0.000510695
46.2;0.314342;-0.000583858
46.3;0.314281;-0.000645101
46.4;0.314214;-0.000693694
46.5;0.314143;-0.000729145
46.6;0.314068;-0.000751199
46.7;0.313993;-0.000759835
46.8;0.313917;-0.000755264
46.9;0.313842;-0.000737916
47;0.31377;-0.000708426
47.1;0.313701;-0.000667624
47.2;0.313637;-0.000616505
47.3;0.313578;-0.000556219
47.4;0.313526;-0.00048804
47.5;0.31348;-0.000413341
47.6;0.313443;-0.000333574
47.7;0.313414;-0.000250235
47.8;0.313393;-0.000164844
47.9;0.313381;-7.89131e-05
48;0.313377;6.0749e-06
48.1;0.313382;8.86935e-05
48.2;0.313395;0.000167594
48.3;0.313415;0.000241529
48.4;0.313443;0.000309367
48.5;0.313477;0.000370112
48.6;0.313517;0.000422916
48.7;0.313561;0.000467088
48.8;0.31361;0.000502104
48.9;0.313661;0.000527611
49;0.313715;0.000543425
49.1;0.31377;0.000549536
49.2;0.313825;0.000546099
49.3;0.313879;0.000533425
49.4;0.313931;0.000511979
49.5;0.313981;0.000482361
49.6;0.314027;0.000445293
49.7;0.31407;0.000401609
49.8;0.314107;0.000352231
49.9;0.31414;0.000298154
50;0.314167;0.000240426
50.1;0.314188;0.000180131
50.2;0.314203;0.000118368
50.3;0.314212;5.62293e-05
50.4;0.314214;-5.21295e-06
50.5;0.314211;-6.49282e-05
50.6;0.314201;-0.000121943
50.7;0.314186;-0.000175355
50.8;0.314166;-0.000224348
50.9;0.314142;-0.000268204
51;0.314113;-0.00030631
51.1;0.314081;-0.00033817
51.2;0.314045;-0.000363404
51.3;0.314008;-0.000381759
51.4;0.313969;-0.000393105
51.5;0.31393;-0.000397435
51.6;0.31389;-0.000394862
51.7;0.313851;-0.000385613
51.8;0.313813;-0.000370024
51.9;0.313777;-0.000348532
52;0.313744;-0.000321659
52.1;0.313713;-0.000290009
52.2;0.313686;-0.000254249
52.3;0.313662;-0.000215099
52.4;0.313643;-0.00017332
52.5;0.313628;-0.000129694
52.6;0.313617;-8.50153e-05
52.7;0.313611;-4.00758e-05
52.8;0.313609;4.35011e-06
52.9;0.313611;4.75174e-05
53;0.313618;8.87223e-05
53.1;0.313629;0.000127313
53.2;0.313644;0.000162701
53.3;0.313662;0.000194366
53.4;0.313682;0.000221867
53.5;0.313706;0.000244846
53.6;0.313731;0.000263029
53.7;0.313758;0.000276236
53.8;0.313786;0.000284372
53.9;0.313815;0.000287435
54;0.313844;0.000285506
54.1;0.313872;0.000278752
54.2;0.313899;0.000267418
54.3;0.313925;0.000251819
54.4;0.313949;0.000232334
54.5;0.313972;0.000209401
54.6;0.313991;0.000183503
54.7;0.314008;0.000155161
54.8;0.314022;0.000124925
54.9;0.314033;9.33614e-05
55;0.314041;6.10447e-05
55.1;0.314045;2.85471e-05
55.2;0.314047;-3.57181e-06
55.3;0.314045;-3.47734e-05
55.4;0.31404;-6.45494e-05
55.5;0.314032;-9.24291e-05
55.6;0.314021;-0.000117987
55.7;0.314008;-0.000140849
55.8;0.313993;-0.000160695
55.9;0.313976;-0.000177268
56;0.313958;-0.000190372
56.1;0.313938;-0.000199875
56.2;0.313918;-0.00020571
56.3;0.313897;-0.000207877
56.4;0.313877;-0.000206436
56.5;0.313856;-0.000201508
56.6;0.313836;-0.000193269
56.7;0.313818;-0.000181949
56.8;0.3138;-0.000167823
56.9;0.313784;-0.000151207
57;0.31377;-0.000132451
57.1;0.313758;-0.000111934
57.2;0.313748;-9.0051e-05
57.3;0.31374;-6.72137e-05
57.4;0.313734;-4.38372e-05
57.5;0.313731;-2.03352e-05
57.6;0.31373;2.88763e-06
57.7;0.313731;2.5442e-05
57.8;0.313735;4.69606e-05
57.9;0.313741;6.71034e-05
58;0.313748;8.55631e-05
58.1;0.313758;0.000102069
58.2;0.313769;0.000116392
58.3;0.313781;0.000128345
58.4;0.313794;0.000137787
58.5;0.313809;0.000144624
58.6;0.313823;0.000148809
58.7;0.313838;0.000150341
58.8;0.313853;0.000149264
58.9;0.313868;0.000145666
59;0.313882;0.000139676
59.1;0.313896;0.000131461
59.2;0.313908;0.000121219
59.3;0.31392;0.00010918
59.4;0.31393;9.55968e-05
59.5;0.313939;8.07433e-05
59.6;0.313946;6.49068e-05
