Method;Start_X0;Start_X1;Opt_X0;Opt_X1;Func_Value;Func_Calls;Step_Size
Rosen;0.337017;-0.888664;0.774715;-0.774716;1,23967;177;0.22
Rosen;0.125259;0.931148;4.06282e-08;0.774716;0,619837;181;0.22
Rosen;-0.303422;0.408171;4.55951e-07;0.774716;0,619837;193;0.22
Rosen;0.108144;-0.0811;-4.37728e-07;-8.83093e-08;6,35E-12;177;0.22
Rosen;-0.0155029;-0.377353;-3.40117e-07;2.18069e-07;5,20E-12;185;0.22
Rosen;-0.0422699;-0.738684;-1.92535e-07;-0.774716;0,619837;165;0.22
Rosen;-0.743953;-0.809848;-0.774716;-0.774716;1,23967;165;0.22
Rosen;0.0490848;-0.0995207;2.30723e-07;-3.92e-07;6,59E-12;161;0.22
Rosen;-0.83105;0.560494;-0.774716;0.774716;1,23967;177;0.22
Rosen;0.862718;-0.192857;0.774716;-4.82905e-07;0,619837;181;0.22
Rosen;0.0867698;-0.345223;2.12813e-07;5.73831e-07;1,19E-11;161;0.22
Rosen;-0.0678615;-0.99051;5.71041e-07;-0.774716;0,619837;185;0.22
Rosen;0.856154;0.62871;0.774716;0.774715;1,23967;173;0.22
Rosen;-0.579654;0.165765;-0.774715;-2.54467e-08;0,619837;169;0.22
Rosen;-0.613452;-0.900444;-0.774716;-0.774716;1,23967;181;0.22
Rosen;-0.829114;0.137985;-0.774716;-2.48301e-07;0,619837;165;0.22
Rosen;0.604649;0.746954;0.774715;0.774716;1,23967;181;0.22
Rosen;-0.300912;-0.385146;-6.2175e-08;-6.65328e-07;1,42E-11;185;0.22
Rosen;0.479936;-0.158346;0.774716;-2.22332e-07;0,619837;169;0.22
Rosen;-0.797115;-0.548555;-0.774716;-0.774716;1,23967;161;0.22
Rosen;-0.698264;0.817863;-0.774716;0.774716;1,23967;193;0.22
Rosen;0.678066;0.14445;0.774716;3.96043e-07;0,619837;173;0.22
Rosen;0.541765;0.665304;0.774716;0.774716;1,23967;149;0.22
Rosen;0.673249;-0.251306;0.774715;4.39723e-07;0,619837;161;0.22
Rosen;-0.258387;-0.277054;1.86691e-07;1.08453e-07;1,48E-12;173;0.22
Rosen;0.74849;0.0660004;0.774716;-4.47923e-07;0,619837;165;0.22
Rosen;0.546522;0.47718;0.774716;0.774715;1,23967;177;0.22
Rosen;0.929578;-0.050678;0.774715;4.26843e-07;0,619837;177;0.22
Rosen;0.394226;0.111891;0.774716;-1.42969e-08;0,619837;193;0.22
Rosen;0.61026;0.403201;0.774716;0.774716;1,23967;193;0.22
Rosen;0.0900866;-0.718505;-1.94282e-07;-0.774716;0,619837;157;0.22
Rosen;0.294283;0.65799;2.33981e-07;0.774715;0,619837;193;0.22
Rosen;0.631756;0.983983;0.774715;0.774716;1,23967;213;0.22
Rosen;0.442856;-0.791186;0.774715;-0.774716;1,23967;165;0.22
Rosen;0.468607;0.585573;0.774716;0.774716;1,23967;177;0.22
Rosen;-0.966053;-0.202321;-0.774716;-3.20455e-07;0,619837;173;0.22
